idno,gender,cong,art_count
49703,F,110,133
49703,F,111,373
49703,F,112,185
14908,M,102,54
14908,M,103,24
14908,M,104,50
14908,M,105,39
14908,M,106,48
14908,M,107,70
14908,M,108,33
40500,M,109,45
40500,M,110,69
40304,M,112,83
40304,M,108,21
40304,M,109,44
40304,M,110,71
40304,M,111,154
40300,F,112,90
40300,F,108,32
40300,F,109,33
40300,F,110,31
40300,F,111,278
29147,M,112,33
29147,M,110,31
29147,M,111,94
15703,M,102,0
15703,M,103,0
15703,M,104,1
15703,M,105,0
15703,M,106,3
15703,M,107,1
15703,M,108,0
15703,M,109,0
15703,M,110,0
15703,M,111,0
15703,M,112,0
41106,F,112,111
14705,M,104,38
14705,M,102,69
14705,M,103,24
14914,M,102,56
14914,M,103,210
14914,M,104,105
14914,M,105,128
14914,M,106,216
14914,M,108,139
14914,M,109,158
14914,M,110,112
14914,M,111,110
14914,M,112,101
49302,M,104,11
49302,M,105,20
49302,M,103,6
40904,M,112,80
40904,M,111,297
14010,M,104,124
14010,M,102,54
14010,M,103,77
29754,M,112,101
29754,M,109,52
29754,M,110,22
29754,M,111,81
20101,M,112,6
40502,M,109,311
40502,M,110,11544
9369,M,102,85
9369,M,103,-99
9369,M,104,112
9369,M,105,58
9369,M,106,83
9369,M,107,154
40910,M,112,59
40910,M,111,188
40302,M,108,49
40302,M,109,61
40302,M,110,190
14710,M,104,131
14710,M,102,131
14710,M,103,102
14651,M,107,27
14651,M,108,57
14651,M,109,84
14651,M,110,81
14651,M,111,128
14651,M,112,103
14103,M,102,56
14103,M,103,56
14103,M,104,178
14103,M,105,112
14103,M,106,79
14103,M,107,83
14103,M,108,67
14103,M,109,76
14103,M,110,111
40702,M,112,120
40702,M,110,34
40702,M,111,47
40704,M,112,28
40704,M,110,42
40704,M,111,59
40706,M,112,80
40706,M,110,165
40706,M,111,97
29935,M,112,50
40909,M,112,125
40909,M,111,113
49305,M,103,8
14702,M,104,7
14702,M,102,4
14702,M,103,3
14423,M,102,74
15021,M,105,54
15021,M,106,47
15021,M,107,78
15021,M,108,83
15021,M,109,153
15021,M,110,163
15021,M,111,261
15021,M,112,221
14703,M,102,7
14703,M,103,17
29548,M,112,25
29548,M,109,7
29548,M,110,19
29548,M,111,52
14511,M,102,34
14511,M,103,31
14031,M,102,25
14031,M,103,62
14031,M,104,216
14031,M,105,920
14031,M,106,747
14031,M,107,616
14031,M,108,213
14031,M,109,169
14031,M,110,132
15054,M,102,22
15054,M,103,31
15054,M,104,24
15054,M,105,42
15054,M,106,37
15054,M,107,96
15054,M,108,77
15054,M,109,568
15054,M,110,845
15054,M,111,1767
15054,M,112,1037
49904,M,106,39
49904,M,107,91
49904,M,108,128
49701,M,105,17
49701,M,106,23
49701,M,107,74
40707,M,112,50
40707,M,110,12
40707,M,111,40
39310,F,107,27
39310,F,108,28
39310,F,109,63
39310,F,110,38
39310,F,111,91
39310,F,112,27
29722,M,112,14
